ปี พ.ศ.,2555,2556,2557,2558,2559,2560
กรุงเทพมหานคร  ,21.4,42.4,56.9,85.8,90.8,94.7
ภาคกลาง ,14.8,27.8,44.7,75.9,85.3,90.9
ภาคเหนือ ,11,17.7,29.5,62.5,77.1,85.6
ภาคตะวันออกเฉียงเหนือ,8.1,13.8,25.7,61.1,74.0,87.0
ภาคใต้,9.8,20.1,35.9,72.4,83.9,91.5
