สถานพยาบาลที่ได้รับการรับรองกระบวนการคุณภาพสถานพยาบาล (HA) และขั้นก้าวหน้า (A-HA) (ข้อมูล ณ 30 พฤศจิกายน 2563),,,,,,,,,
เขต,จังหวัด,โรงพยาบาล,H Code,สังกัด,ชนิดรพ.,ขั้นปัจจุบัน,วันรับรอง,วันหมดอายุ,หมายเหตุ
1,เชียงใหม่,สันทราย,11130,รัฐในสังกัดสป.สธ.,รพช.,r1,13-พ.ย.-18,12-พ.ย.-21,
1,เชียงใหม่,สันป่าตอง,11128,รัฐในสังกัดสป.สธ.,รพช.,r3,12-พ.ย.-19,11-พ.ย.-22,
1,เชียงใหม่,ฝาง,11125,รัฐในสังกัดสป.สธ.,รพท.,r1,27-พ.ย.-20,26-พ.ค.-21,
1,เชียงใหม่,หางดง,11131,รัฐในสังกัดสป.สธ.,รพช.,r2,11-ก.ย.-18,10-ก.ย.-21,
1,เชียงใหม่,แมคคอร์มิค,11980,เอกชน,สมาคมโรงพยาบาลเอกชน,r1,9-พ.ค.-20,8-พ.ค.-21,
1,เชียงใหม่,วัดจันทร์เฉลิมพระเกียรติ ๘๐ พรรษา,23736,รัฐในสังกัดสป.สธ.,รพช.,2,21-ม.ค.-20,20-ม.ค.-21,
1,เชียงใหม่,ผู้สูงอายุแมคเคนขนาดเล็ก,14551,เอกชน,เอกชน,1e,7-ม.ค.-08,6-ม.ค.-09,
1,เชียงใหม่,ทั่วไปขนาดใหญ่เชียงใหม่ใกล้หมอ,14550,เอกชน,สมาคมโรงพยาบาลเอกชน,3,1-พ.ค.-20,30-เม.ย.-21,
1,เชียงใหม่,ศูนย์ความเป็นเลิศทางการแพทย์ คณะแพทยศาสตร์ มหาวิทยาลัยเชียงใหม่ (อาคารเฉลิมพระเกียรติ 7 รอบ พระชนมพรรษา ศูนย์การแพทย์แผนไทยและการแพทย์ผสมผสาน),80092,มหาวิทยาลัย,โรงเรียนแพทย์,2,5-ต.ค.-20,4-ต.ค.-21,
1,เชียงใหม่,แม่ออน,11139,รัฐในสังกัดสป.สธ.,รพช.,r1,11-ก.ย.-18,10-ก.ย.-21,
1,เชียงใหม่,เทพปัญญา 2 โรงพยาบาลทั่วไปขนาดกลาง,11992,เอกชน,สมาคมโรงพยาบาลเอกชน,1e,13-พ.ย.-15,12-พ.ย.-16,
